tag,count
windows,61
ids,8
has_rba_alternative,19
o365,20
process,24
persistence,1
rba_only,58
authentication,11
aws,17
audit,4
credential_access,1
defense_evasion,1
guardduty,4
azure,18
requires_logging_config,1
cisco,3
ise,1
powershell,5
clickfix,1
dns,5
filesystem,1
malware,11
web,4
proxy,2
sysmon,5
duo,1
ioc,2
dynamic_threat_intel,5
vmware,2
network,8
endpoint,4
tunneling,2
github,4
access,1
identity,5
email,3
registry,2
okta,22
misp,1
data_exfiltration,1
pan,2
credential_theft,1
defender_for_endpoint_advanced_hunting,1
discovery,2
proofpoint,2
crowdstrike,2
windows_defender,2
extrahop,1
linux,1
sentinelone,1
anti-forensics,1
active_directory,6
privilege_escalation,1
group_policy,1
reconnaissance,1
gcp,1
kerberos,1
deprecated,1
vcenter,1
lateral_movement,1
IOCs,1